"Name","Title","Description","Version","m.Date","m.Time","Author"
"analyse_baSAR","Bayesian models (baSAR) applied on luminescence data","<br /> This function allows the application of Bayesian models (baSAR) on luminescecence data<br />","0.1.0","2016-02-22","11:26:38
","<br /> Norbert Mercier, IRAMAT-CRP2A, Universite Bordeaux Montaigne (France), Sebastian Kreutzer,<br /> IRAMAT-CRP2A, Universite Bordeaux Montaigne (France)<br />  R Luminescence Package Team"
"analyse_IRSAR.RF","Analyse IRSAR RF measurements","<br /> Function to analyse IRSAR RF measurements on K-feldspar samples, performed<br /> using the protocol according to Erfurt et al. (2003) and beyond.<br />","0.6.1","2016-03-09","14:19:50
","<br /> Sebastian Kreutzer, IRAMAT-CRP2A, Universite Bordeaux Montaigne (France)<br />  R Luminescence Package Team"
"analyse_pIRIRSequence","Analyse post-IR IRSL sequences","<br /> The function performs an analysis of post-IR IRSL sequences including curve<br /> fitting on  RLum.Analysis  objects.<br />","0.2.0","2016-01-18","15:07:46
","<br /> Sebastian Kreutzer, IRAMAT-CRP2A, Universite Bordeaux Montaigne<br /> (France)<br />  R Luminescence Package Team"
"analyse_SAR.CWOSL","Analyse SAR CW-OSL measurements","<br /> The function performs a SAR CW-OSL analysis on an<br /> RLum.Analysis  object including growth curve fitting.<br />","0.7.5","2016-03-22","19:56:00
","<br /> Sebastian Kreutzer, IRAMAT-CRP2A, Universite Bordeaux Montaigne<br /> (France)<br />  R Luminescence Package Team"
"Analyse_SAR.OSLdata","Analyse SAR CW-OSL measurements.","<br /> The function analyses SAR CW-OSL curve data and provides a summary of the<br /> measured data for every position. The output of the function is optimised<br /> for SAR OSL measurements on quartz.<br />","0.2.17","2016-03-22","19:56:00
","<br /> Sebastian Kreutzer, IRAMAT-CRP2A, Universite Bordeaux Montaigne<br /> (France), Margret C. Fuchs, HZDR, Freiberg (Germany)<br />  R Luminescence Package Team"
"analyse_SAR.TL","Analyse SAR TL measurements","<br /> The function performs a SAR TL analysis on a<br /> RLum.Analysis  object including growth curve fitting.<br />","0.1.4","2015-11-29","17:27:48
","<br /> Sebastian Kreutzer, IRAMAT-CRP2A, Universite Bordeaux Montaigne (France)<br />  R Luminescence Package Team"
"app_RLum","Run Luminescence shiny apps (wrapper)","<br /> Wrapper for the function  app_RLum  from the package<br /> RLumShiny-package . For the further details and examples please<br /> see the manual of this package.<br />","0.1.0","2016-03-01","13:39:32
","<br /> Christoph Burow, University of Cologne (Germany)<br />  R Luminescence Package Team"
"apply_CosmicRayRemoval","Function to remove cosmic rays from an RLum.Data.Spectrum S4 class object","<br /> The function provides several methods for cosmic ray removal and spectrum<br /> smoothing for an RLum.Data.Spectrum S4 class object<br />","0.2.1","2016-03-14","10:34:41
","<br /> Sebastian Kreutzer, IRAMAT-CRP2A, Universite Bordeaux Montaigne<br /> (France)<br />  R Luminescence Package Team"
"apply_EfficiencyCorrection","Function to apply spectral efficiency correction to RLum.Data.Spectrum S4<br /> class objects","<br /> The function allows spectral efficiency corrections for RLum.Data.Spectrum<br /> S4 class objects<br />","0.1.1","2016-02-05","05:21:29
","<br /> Sebastian Kreutzer, IRAMAT-CRP2A, Universite Bordeaux Montaigne<br /> (France),  Johannes Friedrich, University of Bayreuth (Germany)<br />  R Luminescence Package Team"
"as","as() - RLum-object coercion","<br /> for  [RLum.Analysis] <br /> <br /> for  [RLum.Data.Curve] <br /> <br /> for  [RLum.Data.Image] <br /> <br /> for  [RLum.Data.Spectrum] <br /> <br /> for  [RLum.Results] <br />",NA,NA,NA,NA
